title,id,namespace,description,effectiveDate,keyImages,catalogNs,currentPrice,seller,productSlug,urlSlug,url,tags,items,customAttributes,categories,price
Vectoroids,ffe0667128e84deea9b809b475cac5fb,e77f3dc66a514c68bd525d8f418c1be2,Shoot your way through waves of Asteroids and UFOs in this Remake of an Arcade Classic. Play as a Team with up to 4 Players in Co-Op Mode. Battle your Friends in Deathmatch and Last Man Standing on 5 different Battle Maps!,2023-06-23T23:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/97a370d4f70242099c3e3fcaa703867d/vectoroids-846h9.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/97a370d4f70242099c3e3fcaa703867d/vectoroids-amwgu.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/97a370d4f70242099c3e3fcaa703867d/vectoroids-amwgu.png'}]",{'mappings': [{'pageSlug': 'vectoroids-e30c27'}]},199,"{'id': 'o-jkvkgwultjz23rvv2cpzpgdd799uu9', 'name': 'LoadUpGames'}",,4cb607f357d2455ab3e31faba433d5c5,,"[{'id': '1264'}, {'id': '1203'}, {'id': '1210'}, {'id': '1370'}, {'id': '9547'}, {'id': '9549'}, {'id': '1198'}, {'id': '1263'}]","[{'id': 'c61c5950faa7446c8d2cf108aacf6ae4', 'namespace': 'e77f3dc66a514c68bd525d8f418c1be2'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'false'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 199, 'originalPrice': 199, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$1.99', 'discountPrice': '$1.99', 'intermediatePrice': '$1.99'}}, 'lineOffers': [{'appliedRules': []}]}"
The Silent City Chapter 1,d761b53f24c044258d5cbfd63d62fda6,910c2c0f214946c893429b050c486468,Horror Action First Person,2023-06-23T18:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/3d47b5f5c8474ef3abff7c7014afe650/the-silent-city-chapter-1-i83p8.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/3d47b5f5c8474ef3abff7c7014afe650/the-silent-city-chapter-1-5onus.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/3d47b5f5c8474ef3abff7c7014afe650/the-silent-city-chapter-1-5onus.png'}]","{'mappings': [{'pageSlug': 'the-silent-city-chapter-1-faq-afa6d9'}, {'pageSlug': 'the-silent-city-chapter-1-the_nightmare-152cd8'}, {'pageSlug': 'the-silent-city-chapter-1-94a47d'}]}",899,"{'id': 'o-p359f4c9xwxdwwcmadfdtbgfkg39lp', 'name': 'LEMIOUTGAMES'}",,68ff822dfaa14b428317ad8357f3b0fc,,"[{'id': '1216'}, {'id': '1218'}, {'id': '1080'}, {'id': '1370'}, {'id': '9547'}, {'id': '1310'}]","[{'id': '649b7a9784ab40479f24325a63451dce', 'namespace': '910c2c0f214946c893429b050c486468'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'false'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 899, 'originalPrice': 899, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$8.99', 'discountPrice': '$8.99', 'intermediatePrice': '$8.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Avoid It,7120acfb5f894ad9a1e7397f39bf327a,fc26bb604bcb4130bc0798c8d9ef95b1,Every situation has a way out!,2023-06-23T11:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/cabfadbc6a504278b529623b80892494/avoid-it-kp98a.jpg'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/cabfadbc6a504278b529623b80892494/avoid-it-1q5nu.jpg'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/cabfadbc6a504278b529623b80892494/avoid-it-1q5nu.jpg'}]",{'mappings': [{'pageSlug': 'avoid-it-df26e8'}]},99,"{'id': 'o-zejr7w3wpnqtvlbug6r56mn53csnwj', 'name': 'Atomic Fabrik'}",,8f2d6d0e8fc749f194fc9c35be4926ea,,"[{'id': '1393'}, {'id': '1370'}, {'id': '9547'}, {'id': '1212'}, {'id': '9549'}, {'id': '1263'}]","[{'id': '3dd66c2893054be489a2ea8d62a84445', 'namespace': 'fc26bb604bcb4130bc0798c8d9ef95b1'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 99, 'originalPrice': 99, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$0.99', 'discountPrice': '$0.99', 'intermediatePrice': '$0.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Journey Into Darkness,093af6432d794de59a4f35baa82565d0,b5e9e4c391cb41cda4e5c974e9b8835f,"In an unknown environment, only this light can bring a little warmth, but the continuous decline of the battery is stripping away my sense of security, I have to escape!",2023-06-23T09:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/31fb6eca406647118b36ce14cda537fd/journey-into-darkness-19ma5.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/31fb6eca406647118b36ce14cda537fd/journey-into-darkness-cus96.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/31fb6eca406647118b36ce14cda537fd/journey-into-darkness-cus96.png'}]","{'mappings': [{'pageSlug': 'journey-into-darkness-2b6bf8'}, {'pageSlug': 'journey-into-darkness-faq-7a4938'}]}",499,"{'id': 'o-bq3v59ammlduquyaxeztbnw8gh75s4', 'name': 'Star Seeker Ltd'}",,910be9b476c44ef0b92ebe5dd09e6b05,,"[{'id': '1264'}, {'id': '1218'}, {'id': '1203'}, {'id': '1381'}, {'id': '21894'}, {'id': '22776'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}, {'id': '1310'}]","[{'id': '786748e7bda04ffca77a99c74dbf8bff', 'namespace': 'b5e9e4c391cb41cda4e5c974e9b8835f'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'false'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'false'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 499, 'originalPrice': 499, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$4.99', 'discountPrice': '$4.99', 'intermediatePrice': '$4.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Rise of Jericho,032125482f9b46df8332cf622fe509dd,05257e63ac474814a1282b6e364a4b19,"Lead hunter-gatherers and give rise to human civilization in Jericho, the oldest city in the world. Gather resources, craft tools and build structures to protect villagers and make your city thrive.",2023-06-23T04:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/e1328016c54c4ce7865f67ea2922f833/rise-of-jericho-1pyye.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/e1328016c54c4ce7865f67ea2922f833/rise-of-jericho-jnx7l.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/e1328016c54c4ce7865f67ea2922f833/rise-of-jericho-jnx7l.png'}]",{'mappings': [{'pageSlug': 'rise-of-jericho-cb083c'}]},2499,"{'id': 'o-j82394w82n24xpwbb83h6p9tjycfmn', 'name': 'Starseed Forest'}",,ad7aa94beb41440c8dc6876676bf18fe,,"[{'id': '1146'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}, {'id': '1263'}]","[{'id': '1293179453ec43e4bb07c98d03809823', 'namespace': '05257e63ac474814a1282b6e364a4b19'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 2499, 'originalPrice': 2499, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$24.99', 'discountPrice': '$24.99', 'intermediatePrice': '$24.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Dr. Virus,a9633ed360da462eb14ad5caa6343bb4,058ca65993ce4a3a8a79cd238e80c539,"Dr. Virus is a captivating puzzle game where players must strategically arrange colored viruses to create chains and eliminate them from the board. With challenging levels and addictive gameplay, it offers a thrilling experience of virus-busting fun",2023-06-23T03:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/d5694aa2efd44a73b57f17f1816eb527/dr-virus-o53v9.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/d5694aa2efd44a73b57f17f1816eb527/dr-virus-xr404.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/d5694aa2efd44a73b57f17f1816eb527/dr-virus-xr404.png'}]",{'mappings': [{'pageSlug': 'dr-virus-9b3243'}]},299,"{'id': 'o-pjsu35uzvxc2tgwt28supn95zj23t3', 'name': 'Giro Fintech'}",,57738d2fba084924be3ff2fd8bb7a222,,"[{'id': '1296'}, {'id': '1298'}, {'id': '1370'}, {'id': '9547'}]","[{'id': '23c2bcaa21244dc49c8faa8b1e8dec69', 'namespace': '058ca65993ce4a3a8a79cd238e80c539'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'false'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 299, 'originalPrice': 299, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$2.99', 'discountPrice': '$2.99', 'intermediatePrice': '$2.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Hiveswap Friendsim,f4282c778f5543158b97c29bdca27de7,e328e5609e43477cb0dbd07310e3840d,"You just crash-landed on Alternia, and you’re DESPERATE for friendship! Anyone will do...wait, who are those two trolls approaching you? A darkly comedic episodic visual novel set in the Homestuck/Hiveswap universe.",2023-06-22T17:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/827750c6574e4ad3b8d3df5dee547d31/hiveswap-friendsim-xo3pq.jpg'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/827750c6574e4ad3b8d3df5dee547d31/hiveswap-friendsim-141bf.jpg'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/827750c6574e4ad3b8d3df5dee547d31/hiveswap-friendsim-141bf.jpg'}]",{'mappings': [{'pageSlug': 'hiveswap-friendsim-ec9c82'}]},1299,"{'id': 'o-22uq4lnmzc6kmlbbaf5gp8yvysnn3t', 'name': 'Surprise Attack Pty Ltd DBA Fellow Traveller Games'}",,09b7c49954d949de83600f7d816d91bc,,"[{'id': '1395'}, {'id': '1370'}, {'id': '9547'}, {'id': '1116'}, {'id': '1117'}]","[{'id': '1f4feb948c77448fa5e16fe2787dafad', 'namespace': 'e328e5609e43477cb0dbd07310e3840d'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'false'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 779, 'originalPrice': 1299, 'voucherDiscount': 0, 'discount': 520, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$12.99', 'discountPrice': '$7.79', 'intermediatePrice': '$7.79'}}, 'lineOffers': [{'appliedRules': [{'id': '3cc1d4001c85408da1302299d27cd9e6', 'endDate': '2023-06-29T17:00:00.000Z', 'discountSetting': {'discountType': 'PERCENTAGE'}}]}]}"
Candle Knight,67fae3e38c48470dae538a03926dd722,909c6e888c164c78a1811afccedbc3a7,"Never let your light go out. Wield a powerful flame, overcome menacing creatures and explore the shadows of a ruined castle in this compelling 2.5D action adventure platformer which features a unique dynamic difficulty system.",2023-06-22T17:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/958ca219a3be440eb3c3225193b3d5be/candle-knight-13gup.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/958ca219a3be440eb3c3225193b3d5be/candle-knight-ngidu.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/958ca219a3be440eb3c3225193b3d5be/candle-knight-ngidu.png'}]",{'mappings': [{'pageSlug': 'candle-knight-b52970'}]},1499,"{'id': 'o-vqdht9dmj9vxwtrfbvs7byg6kckwer', 'name': 'Dracma Studios'}",,9d12c03359a842faa4ce2bb13269c47a,,"[{'id': '19847'}, {'id': '1336'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}, {'id': '1151'}]","[{'id': '8bc8775663f346e5b1df2556fea97133', 'namespace': '909c6e888c164c78a1811afccedbc3a7'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 1499, 'originalPrice': 1499, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$14.99', 'discountPrice': '$14.99', 'intermediatePrice': '$14.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Nova Lands,e5da2c017d4d4afab9f4c56525b66100,740ba4a6fbed4062a9c43d52c5996b0b,"Nova Lands is a factory building, exploration, and island management game. Explore, engage in combat, and automate your industry. The planet you’re on is full of mysteries, creatures, people, and things to do. Welcome to your new home amongst the stars!",2023-06-22T17:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/9a2764693c414ecda63d8f785452a4bb/nova-lands-offer-16wzy.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/9a2764693c414ecda63d8f785452a4bb/download-nova-lands-offer-gtjce.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/9a2764693c414ecda63d8f785452a4bb/download-nova-lands-offer-gtjce.png'}]","{'mappings': [{'pageSlug': 'nova-lands-nova-lands-prologue-2fcdcc'}, {'pageSlug': 'nova-lands-4d1788'}]}",1999,"{'id': 'o-p9883lvrpllhyd7sad6tgxv53mdyh5', 'name': 'Hypetrain Digital'}",,acb83bd813054e599598de9e76f6d95d,,"[{'id': '1393'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '9549'}, {'id': '1263'}]","[{'id': 'e28bfb8ab9d24d44927096af01505dba', 'namespace': '740ba4a6fbed4062a9c43d52c5996b0b'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'false'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 1799, 'originalPrice': 1999, 'voucherDiscount': 0, 'discount': 200, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$19.99', 'discountPrice': '$17.99', 'intermediatePrice': '$17.99'}}, 'lineOffers': [{'appliedRules': [{'id': 'a36da087924942f4bfac6021888cec37', 'endDate': '2023-06-29T17:00:00.000Z', 'discountSetting': {'discountType': 'PERCENTAGE'}}]}]}"
Pesterquest,437b4dc3d86b48d2a8697052dfc9fc16,6f13f3e95bc34b8e974859dde148ceba,"Embark on a quest of epic importance in Pesterquest, a grimsical episodic visual novel adventure set in the darkly funny Homestuck / Hiveswap universe. Find all the answers you're looking for as you zap between Earth and Alternia making friends as you go.",2023-06-22T17:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/568f21fd58c4457eb0472f60b085bb38/pesterquest-ytazc.jpg'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/568f21fd58c4457eb0472f60b085bb38/pesterquest-qdxh7.jpg'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/568f21fd58c4457eb0472f60b085bb38/pesterquest-qdxh7.jpg'}]",{'mappings': [{'pageSlug': 'pesterquest-de8729'}]},1199,"{'id': 'o-22uq4lnmzc6kmlbbaf5gp8yvysnn3t', 'name': 'Surprise Attack Pty Ltd DBA Fellow Traveller Games'}",,e0d1550701bc4bd29247ac1a489371dd,,"[{'id': '1395'}, {'id': '1370'}, {'id': '9547'}, {'id': '1116'}, {'id': '1117'}]","[{'id': '04b0a1b44ea344b686cdcbfb2d4be1e6', 'namespace': '6f13f3e95bc34b8e974859dde148ceba'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'false'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 719, 'originalPrice': 1199, 'voucherDiscount': 0, 'discount': 480, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$11.99', 'discountPrice': '$7.19', 'intermediatePrice': '$7.19'}}, 'lineOffers': [{'appliedRules': [{'id': 'a9d553b6fcbc4bb592086a91d7cdc481', 'endDate': '2023-06-29T17:00:00.000Z', 'discountSetting': {'discountType': 'PERCENTAGE'}}]}]}"
"7,62 High Calibre",6367ef3d6e5a47d28380459401b8b2d7,0fb6c1ad2771441e96c744125d249be3,"7,62 High Calibre is a tactical action game. A professional mercenary is in pursuit of a certain Russian ""businessman"", who stole a large amount of money from his ""colleagues"". 7,62 Hard Life is a fan made enhanced version of the original tactical sim 7,62 High Calibre.",2023-06-22T17:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/b9f402a114574ceb8638645c2d152ff0/762-high-calibre-762-hard-life-1rfer.jpg'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/b9f402a114574ceb8638645c2d152ff0/762-high-calibre-762-hard-life-43m08.jpg'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/b9f402a114574ceb8638645c2d152ff0/762-high-calibre-762-hard-life-43m08.jpg'}]","{'mappings': [{'pageSlug': '762-high-calibre-762-hard-life-762-hard-life-47647c'}, {'pageSlug': '762-high-calibre-762-hard-life-93f60a'}]}",499,"{'id': 'o-n4d8bf5e8fnr4kujuut9j6v4d29muc', 'name': 'Fulqrum Publishing Ltd.'}",,a9adea544d8c4ce7ac1e7015dcfed789,,"[{'id': '1216'}, {'id': '1370'}, {'id': '1115'}, {'id': '9547'}]","[{'id': 'c32cd47aee0a49149b0d5728f94e3cd1', 'namespace': '0fb6c1ad2771441e96c744125d249be3'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 499, 'originalPrice': 499, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$4.99', 'discountPrice': '$4.99', 'intermediatePrice': '$4.99'}}, 'lineOffers': [{'appliedRules': []}]}"
The Bookwalker: Thief of Tales,7f4a11220be64313887dd2dd6d6fce60,a6ec40c07ed2404687698a3ea8de36ce,"The Bookwalker is a narrative adventure. Play as Etienne Quist, a writer-turned-thief with the ability to dive into books. Use your powers to journey between reality and book worlds, and steal legendary items like Thor's Hammer and Excalibur to restore your ability to write.",2023-06-22T16:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/3f8cb4f4b13f494c9696c15652271292/the-bookwalker-4glb9.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/3f8cb4f4b13f494c9696c15652271292/the-bookwalker-1d1yx.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/3f8cb4f4b13f494c9696c15652271292/the-bookwalker-1d1yx.png'}]",{'mappings': [{'pageSlug': 'the-bookwalker-cd43ce'}]},1499,"{'id': 'o-t682p59y2u8tr9bxcm6cmw9w7mmz5t', 'name': 'tinyBuild Games'}",,9bb02b66914445409bc9b169f149c172,,"[{'id': '1395'}, {'id': '19847'}, {'id': '1386'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}]","[{'id': '7d9a794650b345bbafbd461833f943c4', 'namespace': 'a6ec40c07ed2404687698a3ea8de36ce'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'false'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 1349, 'originalPrice': 1499, 'voucherDiscount': 0, 'discount': 150, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$14.99', 'discountPrice': '$13.49', 'intermediatePrice': '$13.49'}}, 'lineOffers': [{'appliedRules': [{'id': 'bd4149861e9e48f49abb1509289559fe', 'endDate': '2023-06-28T16:00:00.000Z', 'discountSetting': {'discountType': 'PERCENTAGE'}}]}]}"
YouCanDomino,ba75a84adf1d4755ab1dc4644d4cd063,ffdc5ced10554d2ab6f7ab1b920573a4,"It is a domino simulation puzzle game that clears the stage using normal dominoes and special dominoes.

You can clear the stage in a variety of ways, and there is also a sandbox mode, so place it freely!",2023-06-22T15:00:00.000Z,"[{'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/spt-assets/dd784c7befa649caa52e83ade4e45a18/youcandomino-1xf5o.png'}, {'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/spt-assets/dd784c7befa649caa52e83ade4e45a18/youcandomino-17j9z.png'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/spt-assets/dd784c7befa649caa52e83ade4e45a18/youcandomino-17j9z.png'}]",{'mappings': [{'pageSlug': 'youcandomino-04e596'}]},399,"{'id': 'o-94zzmxh3zssnh4t7r9kfmly59k5p2b', 'name': 'JJGames'}",,71b44bf10a7c43af8f12a71b2960c088,,"[{'id': '1393'}, {'id': '1298'}, {'id': '1370'}, {'id': '9547'}, {'id': '1263'}]","[{'id': '9c93aa058c7c42d68bf05903c1bc8eca', 'namespace': 'ffdc5ced10554d2ab6f7ab1b920573a4'}]","[{'key': 'autoGeneratedPrice', 'value': 'false'}, {'key': 'isManuallySetViewableDate', 'value': 'true'}, {'key': 'isManuallySetPCReleaseDate', 'value': 'true'}, {'key': 'isBlockchainUsed', 'value': 'false'}]","[{'path': 'games/edition/base'}, {'path': 'games/edition'}, {'path': 'games'}]","{'totalPrice': {'discountPrice': 399, 'originalPrice': 399, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$3.99', 'discountPrice': '$3.99', 'intermediatePrice': '$3.99'}}, 'lineOffers': [{'appliedRules': []}]}"
Prince of Persia: Warrior Within Standard Edition,36b91659f81c4d2ab6b18c591b811614,0e0f32d81c1b4ce98a0db2bc03f2312c,"Enter the dark underworld of Prince of Persia Warrior Within, the sword-slashing sequel to the critically acclaimed Prince of Persia: The Sands of Time™.

Hunted by Dahaka, an immortal incarnation of Fate seeking divine retribution, the Prince embarks upon a path of both carnage and mystery to defy his preordained death. His journey leads to the infernal core of a cursed island stronghold harbour.",2023-06-22T15:00:00.000Z,"[{'type': 'OfferImageTall', 'url': 'https://cdn1.epicgames.com/offer/0e0f32d81c1b4ce98a0db2bc03f2312c/POP2_Store_Portrait_1200x1600_1200x1600-bf9c122a09cbf7dba39b5c1b70450c57'}, {'type': 'OfferImageWide', 'url': 'https://cdn1.epicgames.com/offer/0e0f32d81c1b4ce98a0db2bc03f2312c/POP2_Store_Landscape_2560x1440_2560x1440-f904af00e9f9b8e329391526704be8b8'}, {'type': 'Thumbnail', 'url': 'https://cdn1.epicgames.com/offer/0e0f32d81c1b4ce98a0db2bc03f2312c/POP2_Store_Portrait_1200x1600_1200x1600-bf9c122a09cbf7dba39b5c1b70450c57'}]",{'mappings': [{'pageSlug': 'prince-of-persia-warrior-within'}]},999,"{'id': 'o-3efjudxdtgsqnulml4bkeq3v9nec38', 'name': 'Ubisoft Entertainment'}",prince-of-persia-warrior-within,prince-of-persia-warrior-within,,"[{'id': '1216'}, {'id': '1370'}, {'id': '9547'}, {'id': '1117'}, {'id': '1151'}]","[{'id': 'f959a8fafe23458bb3f72ff47cfbb23d', 'namespace': '0e0f32d81c1b4ce98a0db2bc03f2312c'}]","[{'key': 'com.epicgames.app.productSlug', 'value': 'prince-of-persia-warrior-within'}]","[{'path': 'games'}, {'path': 'games/edition'}, {'path': 'games/edition/base'}, {'path': 'applications'}]","{'totalPrice': {'discountPrice': 999, 'originalPrice': 999, 'voucherDiscount': 0, 'discount': 0, 'currencyCode': 'USD', 'currencyInfo': {'decimals': 2}, 'fmtPrice': {'originalPrice': '$9.99', 'discountPrice': '$9.99', 'intermediatePrice': '$9.99'}}, 'lineOffers': [{'appliedRules': []}]}"
